Sample	File	treatment
DMSO.0.5...48.h_1	SRR18220800	DMSO
DMSO.0.5...48.h_2	SRR18220799	DMSO
DMSO.0.5...48.h_3	SRR18220798	DMSO
SDF.1a.50.nM..48.h_1	SRR18220797	SDF1a
SDF.1a.50.nM..48.h_2	SRR18220796	SDF1a
SDF.1a.50.nM..48.h_3	SRR18220795	SDF1a
SDF.1a.50.nM.and.Astragaloside.IV.10.μM..48.h_1	SRR18220794	SDF1a_Astragaloside
SDF.1a.50.nM.and.Astragaloside.IV.10.μM..48.h_2	SRR18220793	SDF1a_Astragaloside
SDF.1a.50.nM.and.Astragaloside.IV.10.μM..48.h_3	SRR18220792	SDF1a_Astragaloside
SDF.1a.50.nM.and.TCM.formula.SKHS.1...48.h_1	SRR18220791	SDF1a_SKHS
SDF.1a.50.nM.and.TCM.formula.SKHS.1...48.h_2	SRR18220790	SDF1a_SKHS
SDF.1a.50.nM.and.TCM.formula.SKHS.1...48.h_3	SRR18220789	SDF1a_SKHS
