Sample	File	Factor
Non.transduced_without.IL.1b.stimulation_1	SRR15853481	Non_transduced_without_IL_1b_stimulation
Non.transduced_without.IL.1b.stimulation_2	SRR15853482	Non_transduced_without_IL_1b_stimulation
Non.transduced_without.IL.1b.stimulation_3	SRR15853483	Non_transduced_without_IL_1b_stimulation
Non.transduced_without.IL.1b.stimulation_4	SRR15853484	Non_transduced_without_IL_1b_stimulation
Non.transduced_without.IL.1b.stimulation_5	SRR15853485	Non_transduced_without_IL_1b_stimulation
Non.transduced_without.IL.1b.stimulation_6	SRR15853486	Non_transduced_without_IL_1b_stimulation
Non.transduced_without.IL.1b.stimulation_7	SRR15853487	Non_transduced_without_IL_1b_stimulation
Ad.EGFP.transduced_without.IL.1b.stimulation_1	SRR15853488	Ad_EGFP_transduced_without_IL_1b_stimulation
Ad.EGFP.transduced_without.IL.1b.stimulation_2	SRR15853489	Ad_EGFP_transduced_without_IL_1b_stimulation
Ad.EGFP.transduced_without.IL.1b.stimulation_3	SRR15853490	Ad_EGFP_transduced_without_IL_1b_stimulation
Ad.EGFP.transduced_without.IL.1b.stimulation_4	SRR15853491	Ad_EGFP_transduced_without_IL_1b_stimulation
Ad.EGFP.transduced_without.IL.1b.stimulation_5	SRR15853492	Ad_EGFP_transduced_without_IL_1b_stimulation
Ad.EGFP.transduced_without.IL.1b.stimulation_6	SRR15853493	Ad_EGFP_transduced_without_IL_1b_stimulation
Ad.EGFP.transduced_without.IL.1b.stimulation_7	SRR15853494	Ad_EGFP_transduced_without_IL_1b_stimulation
Ad.KLF4.transduced_without.IL.1b.stimulation_1	SRR15853495	Ad_KLF4_transduced_without_IL_1b_stimulation
Ad.KLF4.transduced_without.IL.1b.stimulation_2	SRR15853496	Ad_KLF4_transduced_without_IL_1b_stimulation
Ad.KLF4.transduced_without.IL.1b.stimulation_3	SRR15853497	Ad_KLF4_transduced_without_IL_1b_stimulation
Ad.KLF4.transduced_without.IL.1b.stimulation_4	SRR15853498	Ad_KLF4_transduced_without_IL_1b_stimulation
Ad.KLF4.transduced_without.IL.1b.stimulation_5	SRR15853499	Ad_KLF4_transduced_without_IL_1b_stimulation
Ad.KLF4.transduced_without.IL.1b.stimulation_6	SRR15853500	Ad_KLF4_transduced_without_IL_1b_stimulation
Ad.KLF4.transduced_without.IL.1b.stimulation_7	SRR15853501	Ad_KLF4_transduced_without_IL_1b_stimulation
Non.transduced_with.IL.1b.stimulation_1	SRR15853502	Non_transduced_with_IL_1b_stimulation
Non.transduced_with.IL.1b.stimulation_2	SRR15853503	Non_transduced_with_IL_1b_stimulation
Non.transduced_with.IL.1b.stimulation_3	SRR15853504	Non_transduced_with_IL_1b_stimulation
Non.transduced_with.IL.1b.stimulation_4	SRR15853505	Non_transduced_with_IL_1b_stimulation
Non.transduced_with.IL.1b.stimulation_5	SRR15853506	Non_transduced_with_IL_1b_stimulation
Non.transduced_with.IL.1b.stimulation_6	SRR15853507	Non_transduced_with_IL_1b_stimulation
Non.transduced_with.IL.1b.stimulation_7	SRR15853508	Non_transduced_with_IL_1b_stimulation
Ad.EGFP.transduced_with.IL.1b.stimulation_1	SRR15853509	Ad_EGFP_transduced_with_IL_1b_stimulation
Ad.EGFP.transduced_with.IL.1b.stimulation_2	SRR15853510	Ad_EGFP_transduced_with_IL_1b_stimulation
Ad.EGFP.transduced_with.IL.1b.stimulation_3	SRR15853511	Ad_EGFP_transduced_with_IL_1b_stimulation
Ad.EGFP.transduced_with.IL.1b.stimulation_4	SRR15853512	Ad_EGFP_transduced_with_IL_1b_stimulation
Ad.EGFP.transduced_with.IL.1b.stimulation_5	SRR15853513	Ad_EGFP_transduced_with_IL_1b_stimulation
Ad.EGFP.transduced_with.IL.1b.stimulation_6	SRR15853514	Ad_EGFP_transduced_with_IL_1b_stimulation
Ad.EGFP.transduced_with.IL.1b.stimulation_7	SRR15853515	Ad_EGFP_transduced_with_IL_1b_stimulation
Ad.KLF4.transduced_with.IL.1b.stimulation_1	SRR15853516	Ad_KLF4_transduced_with_IL_1b_stimulation
Ad.KLF4.transduced_with.IL.1b.stimulation_2	SRR15853517	Ad_KLF4_transduced_with_IL_1b_stimulation
Ad.KLF4.transduced_with.IL.1b.stimulation_3	SRR15853518	Ad_KLF4_transduced_with_IL_1b_stimulation
Ad.KLF4.transduced_with.IL.1b.stimulation_4	SRR15853519	Ad_KLF4_transduced_with_IL_1b_stimulation
Ad.KLF4.transduced_with.IL.1b.stimulation_5	SRR15853520	Ad_KLF4_transduced_with_IL_1b_stimulation
Ad.KLF4.transduced_with.IL.1b.stimulation_6	SRR15853521	Ad_KLF4_transduced_with_IL_1b_stimulation
Ad.KLF4.transduced_with.IL.1b.stimulation_7	SRR15853522	Ad_KLF4_transduced_with_IL_1b_stimulation
