Sample	File	Factor
Mandibular.Distraction_10_BCSP_1	SRR6956237	Mandibular Distraction_10_BCSP
Mandibular.Distraction_10_BCSP_2	SRR6956238	Mandibular Distraction_10_BCSP
Mandibular.Distraction_10_OP_1	SRR6956239	Mandibular Distraction_10_OP
Mandibular.Distraction_10_OP_2	SRR6956240	Mandibular Distraction_10_OP
Mandibular.Distraction_10_SSC_1	SRR6956241	Mandibular Distraction_10_SSC
Mandibular.Distraction_10_SSC_2	SRR6956242	Mandibular Distraction_10_SSC
Mandibular.Fracture_10_BCSP_1	SRR6956243	Mandibular Fracture_10_BCSP
Mandibular.Fracture_10_BCSP_2	SRR6956244	Mandibular Fracture_10_BCSP
Mandibular.Fracture_10_OP_1	SRR6956245	Mandibular Fracture_10_OP
Mandibular.Fracture_10_OP_2	SRR6956246	Mandibular Fracture_10_OP
Mandibular.Fracture_10_SSC_1	SRR6956247	Mandibular Fracture_10_SSC
Mandibular.Fracture_10_SSC_2	SRR6956248	Mandibular Fracture_10_SSC
Mandibular.Distraction_15_BCSP_1	SRR6956249	Mandibular Distraction_15_BCSP
Mandibular.Distraction_15_BCSP_2	SRR6956250	Mandibular Distraction_15_BCSP
Mandibular.Distraction_15_OP_1	SRR6956251	Mandibular Distraction_15_OP
Mandibular.Distraction_15_OP_2	SRR6956252	Mandibular Distraction_15_OP
Mandibular.Distraction_15_SSC_1	SRR6956253	Mandibular Distraction_15_SSC
Mandibular.Distraction_15_SSC_2	SRR6956254	Mandibular Distraction_15_SSC
Mandibular.Fracture_15_BCSP_1	SRR6956255	Mandibular Fracture_15_BCSP
Mandibular.Fracture_15_BCSP_2	SRR6956256	Mandibular Fracture_15_BCSP
Mandibular.Fracture_15_OP_1	SRR6956257	Mandibular Fracture_15_OP
Mandibular.Fracture_15_OP_2	SRR6956258	Mandibular Fracture_15_OP
Mandibular.Fracture_15_SSC_1	SRR6956259	Mandibular Fracture_15_SSC
Mandibular.Fracture_15_SSC_2	SRR6956260	Mandibular Fracture_15_SSC
Mandibular.Fracture_5_BCSP_1	SRR6956261	Mandibular Fracture_5_BCSP
Mandibular.Fracture_5_BCSP_2	SRR6956262	Mandibular Fracture_5_BCSP
Mandibular.Fracture_5_OP_1	SRR6956263	Mandibular Fracture_5_OP
Mandibular.Fracture_5_OP_2	SRR6956264	Mandibular Fracture_5_OP
Mandibular.Fracture_5_SSC_1	SRR6956265	Mandibular Fracture_5_SSC
Mandibular.Fracture_5_SSC_2	SRR6956266	Mandibular Fracture_5_SSC
