Sample	File	treatment
Denosumab_1	SRR10603694	Denosumab
Denosumab_2	SRR10603695	Denosumab
Denosumab_3	SRR10603696	Denosumab
Denosumab_4	SRR10603697	Denosumab
Denosumab_5	SRR10603698	Denosumab
Denosumab_6	SRR10603699	Denosumab
Denosumab_7	SRR10603700	Denosumab
Denosumab_8	SRR10603701	Denosumab
Denosumab_9	SRR10603702	Denosumab
Denosumab_10	SRR10603703	Denosumab
Denosumab_11	SRR10603704	Denosumab
Denosumab_12	SRR10603705	Denosumab
Denosumab_13	SRR10603706	Denosumab
Denosumab_14	SRR10603707	Denosumab
Denosumab_15	SRR10603708	Denosumab
Placebo_1	SRR10603709	Placebo
Placebo_2	SRR10603710	Placebo
Placebo_3	SRR10603711	Placebo
Placebo_4	SRR10603712	Placebo
Placebo_5	SRR10603713	Placebo
Placebo_6	SRR10603714	Placebo
Placebo_7	SRR10603715	Placebo
Placebo_8	SRR10603716	Placebo
Placebo_9	SRR10603717	Placebo
Placebo_10	SRR10603718	Placebo
Placebo_11	SRR10603719	Placebo
Placebo_12	SRR10603720	Placebo
Placebo_13	SRR10603721	Placebo
Placebo_14	SRR10603722	Placebo
Placebo_15	SRR10603723	Placebo
