Sample	File	Condition
NaiveControl.siRNA.A.RNA.seq_1	SRR8447830	NaiveControl
NaiveControl.siRNA.B.RNA.seq_1	SRR8447831	NaiveControl
NaiveControl.siRNA.C.RNA.seq_1	SRR8447832	NaiveControl
X2.days.diff.Control.siRNA.A.RNA.seq_1	SRR8447833	Control_2_days_diff
X2.days.diff.Control.siRNA.B.RNA.seq_1	SRR8447834	Control_2_days_dif
X2.days.diff.Control.siRNA.C.RNA.seq_1	SRR8447835	Control_2_days_dif
X10.days.diff.Control.siRNA.A.RNA.seq_1	SRR8447836	Control_10_days_dif
X10.days.diff.Control.siRNA.B.RNA.seq_1	SRR8447837	Control_10_days_dif
X10.days.diff.Control.siRNA.C.RNA.seq_1	SRR8447838	Control_10_days_dif
NaivePLZF.siRNA.A.RNA.seq_1	SRR8447839	NaivePLZF
NaivePLZF.siRNA.B.RNA.seq_1	SRR8447840	NaivePLZF
NaivePLZF.siRNA.C.RNA.seq_1	SRR8447841	NaivePLZF
X2.days.diff.PLZF.siRNA.A.RNA.seq_1	SRR8447842	PLZF_2_days_diff
X2.days.diff.PLZF.siRNA.B.RNA.seq_1	SRR8447843	PLZF_2_days_diff
X2.days.diff.PLZF.siRNA.C.RNA.seq_1	SRR8447844	PLZF_2_days_diff
X10.days.diff.PLZF.siRNA.A.RNA.seq_1	SRR8447845	PLZF_10_days_diff
X10.days.diff.PLZF.siRNA.B.RNA.seq_1	SRR8447846	PLZF_10_days_diff
X10.days.diff.PLZF.siRNA.C.RNA.seq_1	SRR8447847	PLZF_10_days_diff
