Sample	File	Factor
P33_Cartilage..knee._Control..vehicle..for.24.hours_1	SRR14217865	Cartilage_Control
P33_Cartilage..knee._IL.17A..10.ng.ml..for.24.hours_1	SRR14217866	Cartilage_IL_17A
P33_Cartilage..knee._IL.17F..10.ng.ml..for.24.hours_1	SRR14217867	Cartilage_IL_17F
P33_Cartilage..knee._IL.17AF..10.ng.ml..for.24.hours_1	SRR14217868	Cartilage_IL_17AF
P332_Cartilage..knee._Control..vehicle..for.24.hours_1	SRR14217869	Cartilage_Control
P332_Cartilage..knee._IL.17A..10.ng.ml..for.24.hours_1	SRR14217870	Cartilage_IL_17A
P332_Cartilage..knee._IL.17F..10.ng.ml..for.24.hours_1	SRR14217871	Cartilage_IL_17F
P332_Cartilage..knee._IL.17AF..10.ng.ml..for.24.hours_1	SRR14217872	Cartilage_IL_17AF
P3_Cartilage..knee._Control..vehicle..for.24.hours_1	SRR14217873	Cartilage_Control
P3_Cartilage..knee._IL.17A..10.ng.ml..for.24.hours_1	SRR14217874	Cartilage_IL_17A
P3_Cartilage..knee._IL.17F..10.ng.ml..for.24.hours_1	SRR14217875	Cartilage_IL_17F
P3_Cartilage..knee._IL.17AF..10.ng.ml..for.24.hours_1	SRR14217876	Cartilage_IL_17AF
P39_Cartilage..knee._Control..vehicle..for.24.hours_1	SRR14217829	Cartilage_Control
P39_Cartilage..knee._IL.17A..10.ng.ml..for.24.hours_1	SRR14217830	Cartilage_IL_17A
P39_Cartilage..knee._IL.17F..10.ng.ml..for.24.hours_1	SRR14217831	Cartilage_IL_17F
P39_Cartilage..knee._IL.17AF..10.ng.ml..for.24.hours_1	SRR14217832	Cartilage_IL_17AF
P226_Cartilage..knee._Control..vehicle..for.24.hours_1	SRR14217833	Cartilage_Control
P226_Cartilage..knee._IL.17A..10.ng.ml..for.24.hours_1	SRR14217834	Cartilage_IL_17A
P226_Cartilage..knee._IL.17F..10.ng.ml..for.24.hours_1	SRR14217835	Cartilage_IL_17F
P226_Cartilage..knee._IL.17AF..10.ng.ml..for.24.hours_1	SRR14217836	Cartilage_IL_17AF
P4_Cartilage..knee._Control..vehicle..for.24.hours_1	SRR14217837	Cartilage_Control
P4_Cartilage..knee._IL.17A..10.ng.ml..for.24.hours_1	SRR14217838	Cartilage_IL_17A
P4_Cartilage..knee._IL.17F..10.ng.ml..for.24.hours_1	SRR14217839	Cartilage_IL_17F
P4_Cartilage..knee._IL.17AF..10.ng.ml..for.24.hours_1	SRR14217840	Cartilage_IL_17AF
P330_Synovium..knee._Control..vehicle..for.24.hours_1	SRR14217841	Synovium_Control
P330_Synovium..knee._IL.17A..10.ng.ml..for.24.hours_1	SRR14217842	Synovium_IL_17A
P330_Synovium..knee._IL.17F..10.ng.ml..for.24.hours_1	SRR14217843	Synovium_IL_17F
P330_Synovium..knee._IL.17AF..10.ng.ml..for.24.hours_1	SRR14217844	Synovium_IL_17AF
P299_Synovium..knee._Control..vehicle..for.24.hours_1	SRR14217845	Synovium_Control
P299_Synovium..knee._IL.17A..10.ng.ml..for.24.hours_1	SRR14217846	Synovium_IL_17A
P299_Synovium..knee._IL.17F..10.ng.ml..for.24.hours_1	SRR14217847	Synovium_IL_17F
P299_Synovium..knee._IL.17AF..10.ng.ml..for.24.hours_1	SRR14217848	Synovium_IL_17AF
P368_Synovium..knee._Control..vehicle..for.24.hours_1	SRR14217849	Synovium_Control
P368_Synovium..knee._IL.17A..10.ng.ml..for.24.hours_1	SRR14217850	Synovium_IL_17A
P368_Synovium..knee._IL.17F..10.ng.ml..for.24.hours_1	SRR14217851	Synovium_IL_17F
P368_Synovium..knee._IL.17AF..10.ng.ml..for.24.hours_1	SRR14217852	Synovium_IL_17AF
P377_Synovium..knee._Control..vehicle..for.24.hours_1	SRR14217853	Synovium_Control
P377_Synovium..knee._IL.17A..10.ng.ml..for.24.hours_1	SRR14217854	Synovium_IL_17A
P377_Synovium..knee._IL.17F..10.ng.ml..for.24.hours_1	SRR14217855	Synovium_IL_17F
P377_Synovium..knee._IL.17AF..10.ng.ml..for.24.hours_1	SRR14217856	Synovium_IL_17AF
P317_Synovium..knee._Control..vehicle..for.24.hours_1	SRR14217857	Synovium_Control
P317_Synovium..knee._IL.17A..10.ng.ml..for.24.hours_1	SRR14217858	Synovium_IL_17A
P317_Synovium..knee._IL.17F..10.ng.ml..for.24.hours_1	SRR14217859	Synovium_IL_17F
P317_Synovium..knee._IL.17AF..10.ng.ml..for.24.hours_1	SRR14217860	Synovium_IL_17AF
P310_Synovium..knee._Control..vehicle..for.24.hours_1	SRR14217861	Synovium_Control
P310_Synovium..knee._IL.17A..10.ng.ml..for.24.hours_1	SRR14217862	Synovium_IL_17A
P310_Synovium..knee._IL.17F..10.ng.ml..for.24.hours_1	SRR14217863	Synovium_IL_17F
P310_Synovium..knee._IL.17AF..10.ng.ml..for.24.hours_1	SRR14217864	Synovium_IL_17AF
