Sample	File	Condition
Uninjured_MRL.MpJ_0.day..before.injury._1	SRR6931038	Uninjured_MRL_MpJ_0_day_before_injury
Uninjured_MRL.MpJ_0.day..before.injury._2	SRR6931039	Uninjured_MRL_MpJ_0_day_before_injury
Uninjured_MRL.MpJ_0.day..before.injury._3	SRR6931040	Uninjured_MRL_MpJ_0_day_before_injury
Uninjured_MRL.MpJ_0.day..before.injury._4	SRR6931041	Uninjured_MRL_MpJ_0_day_before_injury
Uninjured_C57BL.6_0.day..before.injury._1	SRR6931042	Uninjured_C57BL_6_0_day_before_injury
Uninjured_C57BL.6_0.day..before.injury._2	SRR6931043	Uninjured_C57BL_6_0_day_before_injury
Uninjured_C57BL.6_0.day..before.injury._3	SRR6931044	Uninjured_C57BL_6_0_day_before_injury
Uninjured_C57BL.6_0.day..before.injury._4	SRR6931045	Uninjured_C57BL_6_0_day_before_injury
Uninjured_STR.ort_0.day..before.injury._1	SRR6931046	Uninjured_STR_ort_0_day_before_injury
Uninjured_STR.ort_0.day..before.injury._2	SRR6931047	Uninjured_STR_ort_0_day_before_injury
Uninjured_STR.ort_0.day..before.injury._3	SRR6931048	Uninjured_STR_ort_0_day_before_injury
Uninjured_STR.ort_0.day..before.injury._4	SRR6931049	Uninjured_STR_ort_0_day_before_injury
Injured_MRL.MpJ_1.day.post.injury_1	SRR6931050	Injured_MRL_MpJ_1_day_post_injury
Injured_MRL.MpJ_1.day.post.injury_2	SRR6931051	Injured_MRL_MpJ_1_day_post_injury
Injured_MRL.MpJ_1.day.post.injury_3	SRR6931052	Injured_MRL_MpJ_1_day_post_injury
Injured_MRL.MpJ_1.day.post.injury_4	SRR6931053	Injured_MRL_MpJ_1_day_post_injury
Injured_MRL.MpJ_1.day.post.injury_5	SRR6931054	Injured_MRL_MpJ_1_day_post_injury
Uninjured_MRL.MpJ_1.day.post.injury_1	SRR6931055	Uninjured_MRL_MpJ_1_day_post_injury
Uninjured_MRL.MpJ_1.day.post.injury_2	SRR6931056	Uninjured_MRL_MpJ_1_day_post_injury
Uninjured_MRL.MpJ_1.day.post.injury_3	SRR6931057	Uninjured_MRL_MpJ_1_day_post_injury
Uninjured_MRL.MpJ_1.day.post.injury_4	SRR6931058	Uninjured_MRL_MpJ_1_day_post_injury
Uninjured_MRL.MpJ_1.day.post.injury_5	SRR6931059	Uninjured_MRL_MpJ_1_day_post_injury
Injured_C57BL.6_1.day.post.injury_1	SRR6931060	Injured_C57BL_6_1_day_post_injury
Injured_C57BL.6_1.dy.post.injury_2	SRR6931061	Injured_C57BL_6_1_day_post_injury
Injured_C57BL.6_1.day.post.injury_3	SRR6931062	Injured_C57BL_6_1_day_post_injury
Injured_C57BL.6_1.day.post.injury_4	SRR6931063	Injured_C57BL_6_1_day_post_injury
Injured_C57BL.6_1.day.post.injury_5	SRR6931064	Injured_C57BL_6_1_day_post_injury
Uninjured_C57BL.6_1.day.post.injury_1	SRR6931065	Uninjured_C57BL_6_1_day_post_injury
Uninjured_C57BL.6_1.day.post.injury_2	SRR6931066	Uninjured_C57BL_6_1_day_post_injury
